year,anom_c,hemisphere
1863,8.788459e-07,Southern
1864,-2.1945578e-05,Southern
1865,1.2268089e-06,Southern
1866,-1.5113251e-05,Southern
1867,-1.2200908e-06,Southern
1868,2.4684439e-06,Southern
1869,-1.35045075e-05,Southern
1870,1.9417901e-05,Southern
1871,4.6521986e-06,Southern
1872,-3.6432514e-06,Southern
1873,-1.321115e-05,Southern
1874,-5.2637574e-06,Southern
1875,1.1432033e-06,Southern
1876,-3.06295e-06,Southern
1877,1.8973951e-05,Southern
1878,7.959842e-06,Southern
1879,8.733696e-06,Southern
1880,-7.232685e-06,Southern
1881,3.8906146e-06,Southern
1882,-1.2584195e-05,Southern
1883,2.044447e-06,Southern
1884,-1.3389896e-06,Southern
1885,-5.5854084e-06,Southern
1886,-1.2118316e-05,Southern
1887,2.339303e-06,Southern
1888,-1.9162637e-05,Southern
1889,3.2233875e-06,Southern
1890,6.2229833e-06,Southern
1891,1.1387077e-05,Southern
1892,1.1138953e-05,Southern
1893,-4.0557693e-06,Southern
1894,1.8550629e-05,Southern
1895,1.2562537e-05,Southern
1896,1.6592194e-05,Southern
1897,3.1788659e-06,Southern
1898,-7.2887633e-07,Southern
1899,1.2881952e-05,Southern
1900,1.1168013e-06,Southern
1901,2.643821e-06,Southern
1902,1.8956538e-06,Southern
1903,5.61814e-06,Southern
1904,1.7570031e-06,Southern
1905,9.360265e-06,Southern
1906,1.8088807e-06,Southern
1907,-1.8087603e-05,Southern
1908,-5.752406e-06,Southern
1909,-2.8177358e-06,Southern
1910,-1.0609059e-05,Southern
1911,-4.695799e-06,Southern
1912,1.1717457e-05,Southern
1913,1.8635992e-05,Southern
1914,7.780026e-06,Southern
1915,6.089831e-07,Southern
1916,3.946237e-07,Southern
1917,6.398574e-06,Southern
1918,9.605105e-06,Southern
1919,1.423561e-05,Southern
1920,9.096708e-06,Southern
1921,-1.3762062e-05,Southern
1922,-1.0979454e-05,Southern
1923,2.588259e-05,Southern
1924,8.076226e-06,Southern
1925,-1.441178e-05,Southern
1926,3.6697263e-06,Southern
1927,1.0113142e-05,Southern
1928,-3.0466545e-06,Southern
1929,5.517625e-07,Southern
1930,-1.0744418e-05,Southern
1931,1.1873558e-05,Southern
1932,1.006426e-05,Southern
1933,8.953134e-06,Southern
1934,1.2918084e-05,Southern
1935,-3.228529e-06,Southern
1936,-9.834208e-07,Southern
1937,8.930027e-06,Southern
1938,-1.7255952e-06,Southern
1939,-1.0444436e-05,Southern
1940,9.614926e-06,Southern
1941,1.3068743e-05,Southern
1942,-1.4009602e-05,Southern
1943,1.2323265e-05,Southern
1944,1.3411945e-05,Southern
1945,9.502944e-06,Southern
1946,8.119418e-06,Southern
1947,1.2867381e-05,Southern
1948,2.521657e-05,Southern
1949,-9.496318e-06,Southern
1950,1.8068267e-05,Southern
1951,-1.6381382e-06,Southern
1952,1.9245866e-05,Southern
1953,8.684336e-06,Southern
1954,-7.622902e-06,Southern
1955,1.2820138e-05,Southern
1956,1.1033939e-05,Southern
1957,5.242177e-06,Southern
1958,1.687689e-05,Southern
1959,2.376984e-05,Southern
1960,-1.5746797e-06,Southern
1961,3.0163874e-05,Southern
1962,2.2359063e-05,Southern
1963,2.2357048e-05,Southern
1964,6.6683665e-06,Southern
1965,2.9168972e-05,Southern
1966,-7.432313e-06,Southern
1967,-2.0647276e-06,Southern
1968,3.081339e-06,Southern
1969,1.6325313e-05,Southern
1970,1.0261831e-05,Southern
1971,3.7273712e-06,Southern
1972,-1.2801635e-05,Southern
1973,1.1424682e-05,Southern
1974,8.384995e-06,Southern
1975,2.5295492e-05,Southern
1976,-2.056787e-06,Southern
1977,4.1648527e-06,Southern
1978,2.4808307e-05,Southern
1979,1.9637953e-05,Southern
1980,1.1230732e-06,Southern
1981,1.2544445e-05,Southern
1982,1.1814892e-05,Southern
1983,2.6685268e-05,Southern
1984,1.7517499e-06,Southern
1985,3.5369885e-06,Southern
1986,1.0338331e-05,Southern
1987,3.1570453e-06,Southern
1988,2.2276783e-05,Southern
1989,3.0109406e-05,Southern
1990,2.3265797e-05,Southern
1991,1.9483881e-05,Southern
1992,2.3121975e-06,Southern
1993,1.7072787e-05,Southern
1994,2.2782386e-05,Southern
1995,3.125836e-05,Southern
1996,2.9560324e-05,Southern
1997,2.4765433e-05,Southern
1998,-8.182401e-06,Southern
1999,1.6023128e-05,Southern
2000,1.5867132e-05,Southern
2001,2.413481e-05,Southern
2002,1.143539e-05,Southern
2003,2.0906196e-05,Southern
2004,8.452352e-06,Southern
2005,3.1541265e-05,Southern
2006,9.5266905e-06,Southern
2007,1.6984663e-05,Southern
2008,2.8561568e-05,Southern
2009,1.6477505e-05,Southern
2010,2.000291e-05,Southern
2011,4.1187053e-05,Southern
2012,2.5843934e-05,Southern
2013,1.4608527e-05,Southern
2014,1.4127608e-05,Southern
